monitoringSiteIdentifier,eeaIndicator,phenomenonTimeReferenceYear,resultMeanValue,resultNumberOfSamples
ATPG54100342,Nitrate,2001,32.125,1
FRGR04015300,BOD5,2001,1.7763,11
HU101178472,Ammonium,2001,0.823188,24
RO43600,Nitrite,2001,0.03648,12
FISW_41,Secchi depth,2001,4.5,1
SIP38240,Phosphate,2001,0.005,1
ITI027TG11,Phosphate,2001,0.009753,11
ATFW61400287,Nitrate,2001,1.45006,12
ATPG53100062,Nitrite,2001,0.005,1
FRDR06113000,Nitrite,2001,0.0341,11
RSRW00001,Ammonium,2001,0.121591,12
FRBSS001NLEZ,Nitrate,2001,66.35,1
BG1OS00715MS050,Phosphate,2001,0.597884,11
SE718284-148654,Secchi depth,2001,1.0,1
CZPP0049,Nitrate,2001,20.55,2
FRBSS001CQJZ,Nitrate,2001,33.95,4
FRBSS000XWRQ,Nitrate,2001,23.8,1
PL01S0701_1077,Nitrate,2001,2.310896,12
HU101179480,Ammonium,2001,0.187483,25
FRBSS002EQQM,Nitrate,2001,1.7,2
FRCR02081000,Total phosphorus,2001,0.2318,13
FRHR03023000,BOD5,2001,2.8264,9
PL02S1301_1134,Ammonium,2001,0.734543,24
CZVB9803,Ammonium,2001,0.0525,2
SE615375-137087,Nitrate,2001,0.323,4
FRBSS002MQKV,Nitrate,2001,20.15,4
PL02S1301_1203,Nitrate,2001,1.819276,12
FRDR06083000,Nitrite,2001,0.0455,10
IT05193,Total phosphorus,2001,0.094167,12
FRFR05148000,Nitrate,2001,0.915838,6
ATFW52120147,Nitrate,2001,0.524105,12
FRBSS002CQYD,Nitrate,2001,1.0,4
SKS726593,Nitrite,2001,0.00625,4
LVV0270200,Total phosphorus,2001,0.0422,10
FRHR03013660,Ammonium,2001,0.055665,4
CZVP7225,Ammonium,2001,0.29,2
FRDR06143950,Nitrate,2001,0.330714,10
PL01S1101_1521,BOD5,2001,4.325,12
DESM_BWU44,Nitrate,2001,4.305599,24
BERW_04800,BOD5,2001,1.0,13
DESM_DEST_2110020_A,Ammonium,2001,0.169894,26
DEGM_35396735,Nitrate,2001,0.4,2
FISW_757,Phosphate,2001,0.002,4
PL01S1101_1537,Nitrate,2001,0.96334,12
FRBSS001VEAV,Nitrate,2001,2.3,1
SE700773-157350,Total phosphorus,2001,0.0076,12
FRBSS000MMXR,Nitrate,2001,2.5,4
ATPG30600022,Nitrite,2001,0.01,1
PL08S0301_0139,Nitrate,2001,2.077186,24
BG1RL00001MS020,Phosphate,2001,0.323718,12
HU101178405,Phosphate,2001,0.0338,26
LV007PIUA8_3,Nitrate,2001,0.0443,1
ES050ESPF10105,BOD5,2001,7.17,12
FISW_719,Nitrate,2001,0.506021,2
LVD4060100,Ammonium,2001,0.08095,10
FRBSS000HSWW,Nitrate,2001,37.3,6
CZPP0744,Nitrite,2001,0.005,2
ATPG32100342,Ammonium,2001,0.01,1
ATFW73190967,Total organic carbon (TOC),2001,0.730333,12
DEGM_39320023,Ammonium,2001,0.5,1
BEVL_VMM_768000,Nitrate,2001,6.516941,12
CZPP0056,Ammonium,2001,0.05,2
DEGM_DETH_5437000083,Nitrate,2001,0.2,1
ES050ESPF10502,Nitrate,2001,4.683115,2
ES050ESPF20602,BOD5,2001,1.41062,8
LVL1430100,Total phosphorus,2001,0.0845,10
BG1YN00079MS200,BOD5,2001,4.336,11
NO021-41609,Total organic carbon (TOC),2001,2.9,1
ATPG90300012,Nitrate,2001,82.5775,1
FRFR05233000,Phosphate,2001,0.0448,8
SE711900-175034,Ammonium,2001,0.025984,12
ATPG10003042,Nitrate,2001,19.125,1
ATPG41808012,Nitrate,2001,13.35,1
PL07S0801_0071,Total phosphorus,2001,0.0512,26
ATFW80211037,Ammonium,2001,0.055624,12
ATPG32300092,Nitrite,2001,1.17125,1
PL01S1501_1771,Total phosphorus,2001,2.285,12
LVG2150100,Ammonium,2001,0.058963,10
SIV2199,BOD5,2001,2.733333,3
SE708619-162132,Secchi depth,2001,2.51667,6
FISW_806,Ammonium,2001,0.013791,4
ES020ESPF004300033,Ammonium,2001,5.173023,13
PL03S1601_0001,Nitrate,2001,0.854236,24
FISW_947,BOD5,2001,0.782499,13
ES080ESPFES080-JU111,BOD5,2001,34.0,11
ATPG30800772,Ammonium,2001,0.012125,1
ES030ESPFTA53405001,Ammonium,2001,0.179289,4
LVV0180200,Phosphate,2001,0.0271,9
ATFW21531177,Nitrate,2001,0.508854,12
FRBSS001SEGN,Nitrate,2001,3.06,5
PL02S0101_0526,Nitrate,2001,1.872378,26
SKS725493,Ammonium,2001,0.0275,2
