monitoringSiteIdentifier,eeaIndicator,phenomenonTimeReferenceYear,resultMeanValue,resultNumberOfSamples
BG3MA09211MS1370,Nitrate,2005,1.033043,10
ATPG54100342,Nitrate,2005,28.65,1
FRGR04015300,BOD5,2005,1.2,8
HU101178472,Ammonium,2005,0.412705,25
BERWM093_7149015,Ammonium,2005,0.08,1
RO43600,Nitrite,2005,0.03,4
DEGM_DENW_023061870,Nitrite,2005,0.0656,2
FISW_41,Secchi depth,2005,4.25,2
SIP38240,Phosphate,2005,0.01,2
ITI027TG11,Phosphate,2005,0.042917,12
ATFW61400287,Nitrate,2005,2.050915,12
DEGM_DEBW_133-254-6,Nitrite,2005,0.01,6
ATPG53100062,Nitrite,2005,0.002,1
IT1313SC,Chlorophyll a,2005,9.0,2
FRDR06113000,Nitrite,2005,0.023518,11
RSRW00001,Ammonium,2005,0.12516,21
LTR175,Nitrate,2005,1.951081,12
DEGM_DENI_500000009,Ammonium,2005,0.064,2
NO026-41194,Ammonium,2005,0.015518,1
IT05217,Phosphate,2005,0.022531,12
FRBSS000WQUR,Nitrite,2005,0.02,5
FRBSS001NLEZ,Nitrate,2005,58.575,8
BG1OS00715MS050,Phosphate,2005,0.092584,9
CZPP0049,Nitrate,2005,13.3,2
DEGM_DENI_100000670,Nitrite,2005,0.033,1
FRBSS001CQJZ,Nitrate,2005,29.5,4
SKN410510D,Phosphate,2005,0.67743,10
LTR360,BOD5,2005,1.465516,12
FRBSS000XWRQ,Nitrate,2005,29.4,1
IT03POADSALN1LO1,Total phosphorus,2005,0.1305,5
PL01S0701_1077,Nitrate,2005,2.033085,12
HU101179480,Ammonium,2005,0.184174,16
FRBSS002EQQM,Nitrate,2005,2.0,3
BERWM092_7119011,Nitrate,2005,30.0,1
FRCR02081000,Total phosphorus,2005,0.255833,12
FRHR03023000,BOD5,2005,1.39167,12
CZVB9803,Ammonium,2005,0.024,2
FRBSS002MQKV,Nitrate,2005,24.76,5
IT05363,Secchi depth,2005,3.2,1
SE615375-137087,Nitrate,2005,0.458,4
SE662709-160136,Ammonium,2005,0.010993,6
PL02S1301_1203,Nitrate,2005,1.710071,12
FRBSS001PJNW,Ammonium,2005,0.05,14
RSLW00067,Phosphate,2005,0.0063,1
FRDR06083000,Nitrite,2005,0.075834,12
FRFR05148000,Nitrate,2005,0.888209,6
ATFW52120147,Nitrate,2005,0.502521,12
FRBSS002CQYD,Nitrate,2005,0.58,5
LVV0270200,Total phosphorus,2005,0.06128,10
CZVP7225,Ammonium,2005,0.316,2
DEGM_DENI_9700294,Nitrite,2005,0.066,1
FRHR03013660,Ammonium,2005,0.036274,12
FRDR06143950,Nitrate,2005,0.453514,12
PL01S1101_1521,BOD5,2005,4.883,12
DESM_BWU44,Nitrate,2005,4.554039,26
BERW_04800,BOD5,2005,1.0,13
DESM_DEST_2110020_A,Ammonium,2005,0.09694,13
FISW_757,Phosphate,2005,0.0013,4
PL01S1101_1537,Nitrate,2005,1.078045,11
BG2G000000QMP008,Ammonium,2005,0.45,1
LVE2010100,BOD5,2005,1.25,4
DEGM_DEBY_1131593100020,Nitrite,2005,0.02,2
PT365T470,Ammonium,2005,0.03,2
RSLW00031,Phosphate,2005,0.0289,1
SE700773-157350,Total phosphorus,2005,0.009,12
FRBSS000MMXR,Nitrate,2005,0.633333,3
ATPG30600022,Nitrite,2005,0.005,1
PL08S0301_0139,Nitrate,2005,1.346056,24
BG1RL00001MS020,Phosphate,2005,0.152568,12
HU101178405,Phosphate,2005,0.139963,15
LV007PIUA8_3,Nitrate,2005,0.0133,1
ES050ESPF10105,BOD5,2005,0.5,12
FISW_719,Nitrate,2005,0.187008,3
FRBSS001TMNT,Nitrate,2005,6.25,2
EESJA3486000,Ammonium,2005,0.24,1
IT01001197,Nitrate,2005,2.863449,12
LVD4060100,Ammonium,2005,0.062045,12
CZPOD_1144,Ammonium,2005,0.162399,12
FRBSS000HSWW,Nitrate,2005,38.34,5
CZPP0744,Nitrite,2005,0.005,2
DEGM_DERP_2714215300,Nitrite,2005,0.01,1
FRDR06149900,Nitrite,2005,0.003043,6
ATPG32100342,Ammonium,2005,0.01,1
ATFW73190967,Total organic carbon (TOC),2005,0.874333,12
RSGW00045,Nitrate,2005,3.02,1
IT09S1233,BOD5,2005,3.08,11
CZPP0056,Ammonium,2005,0.01,2
FRBSS000XMVZ,Nitrite,2005,0.01,2
FRBSS001WCXD,Ammonium,2005,0.0225,2
ES050ESPF20602,BOD5,2005,23.475,4
RSLW00026,Secchi depth,2005,0.95,1
LVL1430100,Total phosphorus,2005,0.0702,10
BG1YN00079MS200,BOD5,2005,2.753,8
NO021-41609,Total organic carbon (TOC),2005,2.1,1
ATPG90300012,Nitrate,2005,72.25,1
FRFR05233000,Phosphate,2005,0.022591,13
SE711900-175034,Ammonium,2005,0.038976,12
FRBSS001RQXX,Nitrate,2005,0.5,2
ATPG10003042,Nitrate,2005,9.525,1
ATPG41808012,Nitrate,2005,14.2,1
FISW_37,Chlorophyll a,2005,0.5,2
ATFW40823016,BOD5,2005,0.779167,12
DEGM_BB_38413470,Nitrate,2005,37.87,2
HR40420,Nitrate,2005,0.200008,3
PL07S0801_0071,Total phosphorus,2005,0.032,12
ATFW80211037,Ammonium,2005,0.014355,11
ATPG32300092,Nitrite,2005,1.53375,1
FRBSS001NUKX,Ammonium,2005,0.05,6
ES020ESBT002901032,Nitrate,2005,10.4,2
LVG2150100,Ammonium,2005,0.068308,10
DEGM_DEBW_600-220-3,Nitrite,2005,0.01,5
SIV2199,BOD5,2005,3.0,24
SE708619-162132,Secchi depth,2005,1.8,6
FISW_806,Ammonium,2005,0.014791,4
CZPLA_8,Ammonium,2005,0.073254,12
ES020ESPF004300033,Ammonium,2005,5.155714,12
PL03S1601_0001,Nitrate,2005,0.758032,12
FISW_947,BOD5,2005,1.279826,13
FISW_486,Ammonium,2005,0.016989,1
ATPG30800772,Ammonium,2005,0.01,1
ES030ESPFTA53405001,Ammonium,2005,0.358577,4
LVV0180200,Phosphate,2005,0.01648,10
ATFW21531177,Nitrate,2005,0.54144,12
FRBSS001SEGN,Nitrate,2005,4.2,5
PL02S0101_0526,Nitrate,2005,1.735072,26
BG3G0000AQHMP033,Nitrate,2005,10.15,2
ES050ESPF10705,Nitrate,2005,4.118051,12
DESM_BWU03,BOD5,2005,1.29,13
ATPG70332042,Nitrate,2005,10.435,1
ES030ESPFTA64812003,Nitrate,2005,0.232128,4
FRFR05183900,Nitrate,2005,0.395177,12
FRBSS000ZWUM,Nitrate,2005,1.0,2
SKH189500D,BOD5,2005,0.639167,12
SIV8600,Total organic carbon (TOC),2005,1.725,4
SKIDK040,Total phosphorus,2005,0.0275,12
HU101179295,Chlorophyll a,2005,2.92667,15
FRBSS002JXTW,Nitrate,2005,4.4,1
CZVP8219,Nitrate,2005,7.3,2
NO002-40964,Total organic carbon (TOC),2005,5.0,1
FISW_1560,Ammonium,2005,0.076952,3
FISW_238,Total organic carbon (TOC),2005,21.0,1
NO012-30612,Secchi depth,2005,6.26,5
BG4ST06999MS010,Nitrite,2005,0.032,3
ES070ESBTCA0717002,Ammonium,2005,0.1,1
FRGR04043200,Ammonium,2005,0.057649,12
ES091ESBT251670102,Ammonium,2005,0.046,1
FRBSS002LKPH,Nitrate,2005,6.0,2
IT09S1299,Phosphate,2005,0.0628,6
ATPG31800032,Ammonium,2005,0.01,1
DESM_DEBY_11801,Total organic carbon (TOC),2005,4.01,26
ES091ESBT262020009,Nitrite,2005,0.01,1
LVE1060100,Nitrate,2005,0.027101,4
BG3G000000NMP057,Nitrate,2005,4.69,4
FRBSS001UDUZ,Nitrate,2005,18.9,4
ATPG41021022,Nitrate,2005,13.325,1
ATPG30801102,Ammonium,2005,0.01,1
LTR265,Total phosphorus,2005,0.069,12
FISW_144,Chlorophyll a,2005,8.3,1
BERWM040_4136001,Nitrate,2005,31.0,1
ATPG60106042,Ammonium,2005,0.005,1
DESM_NW101904,Ammonium,2005,0.049969,14
FRDR06109100,Phosphate,2005,0.003943,12
ATFW30900197,BOD5,2005,1.29583,12
ES020ESPF004300042,Ammonium,2005,5.021437,4
SIV815,Nitrite,2005,0.138111,3
FRDR06206000,Chlorophyll a,2005,2.91857,7
FRBSS000ZYWS,Nitrate,2005,62.633333,6
SE698918-158665,Secchi depth,2005,2.0,3
IT0552,BOD5,2005,1.81818,11
DEGM_DENW_064080109,Ammonium,2005,0.129,2
FRBSS000ZZAK,Nitrite,2005,0.01,1
NO084-38551,Phosphate,2005,0.001625,4
FRDR06011000,Chlorophyll a,2005,1.79571,7
EESJA9866000,Nitrite,2005,0.004,1
CZVB0360,Nitrite,2005,0.0295,2
ATPG10002982,Nitrite,2005,0.01,1
ATPG41217012,Nitrate,2005,14.25,1
ATFW52120147,Phosphate,2005,0.001875,12
FRBSS000ZXTG,Nitrite,2005,0.01,2
FRBSS001HVVG,Nitrate,2005,51.0,1
