countryCode,monitoringSiteIdentifier,waterBodyIdentifier,waterBodyName,specialisedZoneType,lon,lat,statusCode
IT,IT02PO29,IT0201VA,PIANA DI AOSTA,groundWaterBody,7.36693,45.735,stable
IT,IT02PO34,IT0201VA,PIANA DI AOSTA,groundWaterBody,7.35605,45.73558,stable
IT,IT13SA13P,IT13SA,PIANA DEL SANGRO,groundWaterBody,14.5061,42.24105,stable
IT,IT13SA21P,IT13SA,PIANA DEL SANGRO,groundWaterBody,14.44058,42.14367,stable
IT,IT13SA2P,IT13SA,PIANA DEL SANGRO,groundWaterBody,14.51111,42.20816,stable
IT,IT13SA4P,IT13SA,PIANA DEL SANGRO,groundWaterBody,14.4858,42.20724,stable
IT,IT13SL9P,IT13SL,PIANA DEL SALINE,groundWaterBody,14.08606,42.46823,stable
IT,IT13TO25P,IT13TO,PIANA DEL TORDINO,groundWaterBody,13.77193,42.68943,stable
IT,IT13TR5P,IT13TR,PIANA DEL TRONTO,groundWaterBody,13.83859,42.87777,stable
IT,IT13TR7P,IT13TR,PIANA DEL TRONTO,groundWaterBody,13.8772,42.88832,stable
IT,IT13VI39P,IT13VI,PIANA DEL VIBRATA,groundWaterBody,13.71028,42.81388,stable
IT,IT13VI43P,IT13VI,PIANA DEL VIBRATA,groundWaterBody,13.76943,42.79944,stable
IT,IT13VI45P,IT13VI,PIANA DEL VIBRATA,groundWaterBody,13.80832,42.79637,stable
IT,IT13VO29P,IT13VO,PIANA DEL VOMANO,groundWaterBody,14.02231,42.64255,stable
IT,IT13VO36P,IT13VO,PIANA DEL VOMANO,groundWaterBody,13.89268,42.62982,stable
IT,IT13VO44P,IT13VO,PIANA DEL VOMANO,groundWaterBody,14.02458,42.65969,stable
IT,IT13VO52P,IT13VO,PIANA DEL VOMANO,groundWaterBody,13.88725,42.61422,stable
IT,IT13VO7P,IT13VO,PIANA DEL VOMANO,groundWaterBody,13.86416,42.61749,stable
IT,IT02PN5,IT0201VA,PIANA DI AOSTA,groundWaterBody,7.57431,45.74043,stable
