countryCode,monitoringSiteIdentifier,waterBodyIdentifier,waterBodyName,specialisedZoneType,lon,lat,statusCode,eeaIndicator,phenomenonTimeReferenceYear,resultMeanValue,resultNumberOfSamples
IT,IT02PO29,IT0201VA,PIANA DI AOSTA,groundWaterBody,7.36693,45.735,stable,Ammonium,2022,0.1,4
IT,IT02PO34,IT0201VA,PIANA DI AOSTA,groundWaterBody,7.35605,45.73558,stable,Ammonium,2022,0.1,4
IT,IT13SA13P,IT13SA,PIANA DEL SANGRO,groundWaterBody,14.5061,42.24105,stable,Ammonium,2022,0.02,4
IT,IT13SA21P,IT13SA,PIANA DEL SANGRO,groundWaterBody,14.44058,42.14367,stable,Ammonium,2022,0.02,4
IT,IT13SL9P,IT13SL,PIANA DEL SALINE,groundWaterBody,14.08606,42.46823,stable,Ammonium,2022,0.02,4
IT,IT13TO25P,IT13TO,PIANA DEL TORDINO,groundWaterBody,13.77193,42.68943,stable,Ammonium,2022,0.03,4
IT,IT13VI39P,IT13VI,PIANA DEL VIBRATA,groundWaterBody,13.71028,42.81388,stable,Ammonium,2022,0.03,2
IT,IT13VO29P,IT13VO,PIANA DEL VOMANO,groundWaterBody,14.02231,42.64255,stable,Ammonium,2022,0.03,2
IT,IT02PN5,IT0201VA,PIANA DI AOSTA,groundWaterBody,7.57431,45.74043,stable,Ammonium,2022,0.1,1
IT,IT01001040,IT0106SS3F381PI,PO,riverWaterBody,7.51308,44.78086,stable,Ammonium,2022,0.097636,12
IT,IT01001065,IT0106SS4D382PI,PO,riverWaterBody,7.69077,44.90868,stable,Ammonium,2022,0.087937,12
IT,IT01001095,IT0106SS4D383PI,PO,riverWaterBody,7.69993,45.06507,stable,Ammonium,2022,0.115094,12
IT,IT01001197,IT0106SS4D384PI,PO,riverWaterBody,7.99742,45.17488,stable,Ammonium,2022,0.064013,12
IT,IT01001230,IT0106SS4T385PI,PO,riverWaterBody,8.29232,45.17519,stable,Ammonium,2022,0.038149,12
IT,IT01001250,IT0106SS4T386PI,PO,riverWaterBody,8.54597,45.14416,stable,Ammonium,2022,0.050434,12
IT,IT01001270,IT0106SS5T387PI,PO,riverWaterBody,8.63204,45.05105,stable,Ammonium,2022,0.047848,12
IT,IT01001280,IT0106SS5T388PI,PO,riverWaterBody,8.85141,45.04309,stable,Ammonium,2022,0.048495,12
IT,IT01014022,IT0106SS3F722PI,SESIA,riverWaterBody,8.39505,45.52996,stable,Ammonium,2022,0.031037,12
IT,IT01030010,IT0106SS3F363PI,PELLICE,riverWaterBody,7.36777,44.82935,stable,Ammonium,2022,0.031037,5
IT,IT01030030,IT0106SS3F364PI,PELLICE,riverWaterBody,7.55639,44.81463,stable,Ammonium,2022,0.031037,9
IT,IT01034010,IT0106SS4F349PI,ORCO,riverWaterBody,7.86352,45.18961,stable,Ammonium,2022,0.123284,9
IT,IT01044015,IT0106SS3F760PI,STURA DI LANZO,riverWaterBody,7.64115,45.13914,stable,Ammonium,2022,0.031037,12
IT,IT01052022,ITIRN0080982IR,TICINO,riverWaterBody,8.70386,45.58957,stable,Ammonium,2022,0.031037,12
IT,IT02AO23,IT0201VA,PIANA DI AOSTA,groundWaterBody,7.32762,45.73275,stable,Ammonium,2022,0.1,1
IT,IT02AO24,IT0201VA,PIANA DI AOSTA,groundWaterBody,7.34007,45.73565,stable,Ammonium,2022,0.1025,4
IT,IT02AO51,IT0201VA,PIANA DI AOSTA,groundWaterBody,7.29482,45.73133,stable,Ammonium,2022,0.1,1
IT,IT02AO56,IT0201VA,PIANA DI AOSTA,groundWaterBody,7.34593,45.73803,stable,Ammonium,2022,0.1,1
IT,IT02AO73,IT0201VA,PIANA DI AOSTA,groundWaterBody,7.31273,45.72977,stable,Ammonium,2022,0.1,1
IT,IT02AR6,IT0203VA,PIANA DI VERR?S - ARNAD - ISSOGNE,groundWaterBody,7.72801,45.63122,stable,Ammonium,2022,0.1,1
IT,IT02BR50,IT0201VA,PIANA DI AOSTA,groundWaterBody,7.40499,45.73767,stable,Ammonium,2022,0.147,4
IT,IT02DBL040,IT0202VA,DORA BALTEA,riverWaterBody,6.98194,45.7693,stable,Ammonium,2022,0.088066,5
IT,IT02DBL060,IT0204VA,DORA BALTEA,riverWaterBody,7.05434,45.74649,stable,Ammonium,2022,0.079919,5
IT,IT02DBL070,IT0207VA,DORA BALTEA,riverWaterBody,7.10935,45.71674,stable,Ammonium,2022,0.079919,6
IT,IT02DBL080,IT0208VA,DORA BALTEA,riverWaterBody,7.1607,45.70402,stable,Ammonium,2022,0.079919,5
IT,IT02DBL088,IT0209VA,DORA BALTEA,riverWaterBody,7.21729,45.70338,stable,Ammonium,2022,0.079919,5
IT,IT02DBL100,IT02010VA,DORA BALTEA,riverWaterBody,7.33533,45.72895,stable,Ammonium,2022,0.079919,5
IT,IT02DBL105,IT02011VA,DORA BALTEA,riverWaterBody,7.39291,45.73874,stable,Ammonium,2022,0.119879,5
IT,IT02DBL110,IT02011VA,DORA BALTEA,riverWaterBody,7.4221,45.73871,stable,Ammonium,2022,0.077591,4
IT,IT02DBL130,IT02013VA,DORA BALTEA,riverWaterBody,7.58081,45.74518,stable,Ammonium,2022,0.079919,5
IT,IT02DBL140,IT02013VA,DORA BALTEA,riverWaterBody,7.64568,45.74107,stable,Ammonium,2022,0.09792,5
IT,IT02DBL150,IT02014VA,DORA BALTEA,riverWaterBody,7.66561,45.72206,stable,Ammonium,2022,0.096058,5
IT,IT02DBL160,IT02015VA,DORA BALTEA,riverWaterBody,7.67887,45.66669,stable,Ammonium,2022,0.079919,5
IT,IT02DBL170,IT02016VA,DORA BALTEA,riverWaterBody,7.73541,45.62669,stable,Ammonium,2022,0.079919,5
IT,IT02DBL180,IT02016VA,DORA BALTEA,riverWaterBody,7.79821,45.582,stable,Ammonium,2022,0.079919,5
IT,IT02DO11,IT0202VA,PIANA DI DONNAS- PONT ST. MARTIN,groundWaterBody,7.78192,45.60103,stable,Ammonium,2022,0.1,1
IT,IT02DO2,IT0202VA,PIANA DI DONNAS- PONT ST. MARTIN,groundWaterBody,7.77276,45.59753,stable,Ammonium,2022,0.1,1
IT,IT02EVN070,IT020945VA,TORRENT EVENSON,riverWaterBody,7.68408,45.66377,stable,Ammonium,2022,0.077591,4
IT,IT02FE9,IT0201VA,PIANA DI AOSTA,groundWaterBody,7.49685,45.74276,stable,Ammonium,2022,0.1,1
IT,IT02MO15,IT0204VA,PIANA DI MORGEX,groundWaterBody,7.02655,45.75906,stable,Ammonium,2022,0.1,1
IT,IT02MO7,IT0204VA,PIANA DI MORGEX,groundWaterBody,7.05272,45.74902,stable,Ammonium,2022,0.1,1
IT,IT02PSM7,IT0202VA,PIANA DI DONNAS- PONT ST. MARTIN,groundWaterBody,7.79836,45.587,stable,Ammonium,2022,0.1,2
IT,IT02PSM8,IT0202VA,PIANA DI DONNAS- PONT ST. MARTIN,groundWaterBody,7.79408,45.59112,stable,Ammonium,2022,0.1,1
IT,IT02QU10,IT0201VA,PIANA DI AOSTA,groundWaterBody,7.37397,45.74124,stable,Ammonium,2022,0.1,1
IT,IT02QU16,IT0201VA,PIANA DI AOSTA,groundWaterBody,7.39666,45.74048,stable,Ammonium,2022,0.1,1
IT,IT02SC16,IT0201VA,PIANA DI AOSTA,groundWaterBody,7.35458,45.73844,stable,Ammonium,2022,0.1,1
IT,IT02SC8,IT0201VA,PIANA DI AOSTA,groundWaterBody,7.35902,45.7374,stable,Ammonium,2022,0.1,4
IT,IT02SM7,IT0201VA,PIANA DI AOSTA,groundWaterBody,7.43881,45.73774,stable,Ammonium,2022,0.1,1
IT,IT02VE11,IT0203VA,PIANA DI VERR?S - ARNAD - ISSOGNE,groundWaterBody,7.67735,45.67693,stable,Ammonium,2022,0.1,1
IT,IT02VE13,IT0203VA,PIANA DI VERR?S - ARNAD - ISSOGNE,groundWaterBody,7.68416,45.66299,stable,Ammonium,2022,0.1,1
IT,IT02VE14,IT0203VA,PIANA DI VERR?S - ARNAD - ISSOGNE,groundWaterBody,7.70249,45.65002,stable,Ammonium,2022,0.1,1
IT,IT02VI6,IT0201VA,PIANA DI AOSTA,groundWaterBody,7.20076,45.70142,stable,Ammonium,2022,0.1,1
IT,IT03001098160011IR1,IT03POTI3GRCA1LO,NAVIGLIO GRANDE (CANALE),riverWaterBody,9.03325,45.4064,stable,Ammonium,2022,0.073158,3
IT,IT030013311IR1,IT03N0083311LO,RIGLIO (ROGGIA),riverWaterBody,9.88606,45.15679,stable,Ammonium,2022,0.349702,12
IT,IT03N0080010012LO1,IT03N0080010012LO,ALBANO (TORRENTE),riverWaterBody,9.28093,46.12594,stable,Ammonium,2022,0.074821,4
IT,IT03N008001003011LO1,IT03N008001003011LO,VALLE DI APRICA (TORRENTE),riverWaterBody,10.13045,46.14877,stable,Ammonium,2022,0.301775,4
IT,IT03N0080010031LO1,IT03N0080010031LO,BELVISO (TORRENTE),riverWaterBody,10.12929,46.0798,stable,Ammonium,2022,0.04988,5
IT,IT03N0080010032LO1,IT03N0080010032LO,BELVISO (TORRENTE),riverWaterBody,10.09963,46.16176,stable,Ammonium,2022,0.099761,4
IT,IT03N008001004012LO1,IT03N008001004012LO,BITTO DI GEROLA E DI MORBEGNO (TORRENTE),riverWaterBody,9.56154,46.13719,stable,Ammonium,2022,0.039904,4
IT,IT03N008001006012LO1,IT03N008001006012LO,BREMBO DI MEZZOLDO (FIUME),riverWaterBody,9.67113,45.93972,stable,Ammonium,2022,0.014964,4
IT,IT03N008001006162LO1,IT03N008001006162LO,SERINA O AMBRIA (TORRENTE),riverWaterBody,9.68151,45.80789,stable,Ammonium,2022,0.014964,4
IT,IT03N008001006221LO1,IT03N008001006221LO,QUISA (TORRENTE),riverWaterBody,9.6131,45.73151,stable,Ammonium,2022,0.027185,4
IT,IT03N008001006222LO1,IT03N008001006222LO,QUISA (TORRENTE),riverWaterBody,9.6048,45.71247,stable,Ammonium,2022,0.018456,2
IT,IT03N0080010063LO1,IT03N0080010063LO,BREMBO (FIUME),riverWaterBody,9.60391,45.76117,stable,Ammonium,2022,0.019537,6
IT,IT03N008001006421LO1,IT03N008001006421LO,DORDO (TORRENTE),riverWaterBody,9.54017,45.72549,stable,Ammonium,2022,0.099428,3
IT,IT03N008001006422LO1,IT03N008001006422LO,DORDO (TORRENTE),riverWaterBody,9.55094,45.63111,stable,Ammonium,2022,0.089385,5
IT,IT03N008001006432LO1,IT03N008001006432LO,IMAGNA (TORRENTE),riverWaterBody,9.603,45.76037,stable,Ammonium,2022,0.023194,4
IT,IT03N0080010064LO1,IT03N0080010064LO,BREMBO (FIUME),riverWaterBody,9.58769,45.71022,stable,Ammonium,2022,0.061519,6
IT,IT03N0080010065LO1,IT03N0080010065LO,BREMBO (FIUME),riverWaterBody,9.55233,45.5897,stable,Ammonium,2022,0.161279,12
IT,IT03N008001006A1LO1,IT03N008001006A1LO,VAL NERA (TORRENTE),riverWaterBody,9.69293,45.94948,stable,Ammonium,2022,0.014964,2
IT,IT03N0080010102LO1,IT03N0080010102LO,FRODOLFO (TORRENTE),riverWaterBody,10.3592,46.45875,stable,Ammonium,2022,0.261871,4
IT,IT03N0080010161LO1,IT03N0080010161LO,MALLERO (TORRENTE),riverWaterBody,9.85234,46.26476,stable,Ammonium,2022,0.077314,4
IT,IT03N0080010162LO1,IT03N0080010162LO,MALLERO (TORRENTE),riverWaterBody,9.85335,46.16269,stable,Ammonium,2022,0.093775,5
IT,IT03N008001018022LO1,IT03N008001018022LO,LIRO (TORRENTE),riverWaterBody,9.38763,46.31499,stable,Ammonium,2022,0.112231,4
IT,IT03N008001018101LO1,IT03N008001018101LO,SCHIESONE (TORRENTE),riverWaterBody,9.40341,46.75336,stable,Ammonium,2022,0.053871,5
IT,IT03N0080010181IR1,IT03N0080010181LO,MERA (FIUME),riverWaterBody,9.50136,46.33129,stable,Ammonium,2022,0.041567,6
IT,IT03N0080010182IR1,IT03N0080010182LO,MERA (FIUME),riverWaterBody,9.39024,46.26229,stable,Ammonium,2022,0.07482,12
IT,IT03N0080010192LO1,IT03N0080010192LO,PIOVERNA (TORRENTE),riverWaterBody,9.37154,46.01062,stable,Ammonium,2022,0.074821,4
